<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
CADUSD 1 160901 0001 0.7625000 0.7627000 0.7623000 0.7623000 3
CADUSD 1 160901 0002 0.7624000 0.7625000 0.7624000 0.7625000 3
CADUSD 1 160901 0003 0.7625000 0.7625000 0.7625000 0.7625000 1
CADUSD 1 160901 0004 0.7625000 0.7625000 0.7625000 0.7625000 1
CADUSD 1 160901 0005 0.7625000 0.7626000 0.7625000 0.7626000 2
CADUSD 1 160901 0006 0.7625000 0.7625000 0.7625000 0.7625000 3
CADUSD 1 160901 0007 0.7626000 0.7626000 0.7625000 0.7625000 3
CADUSD 1 160901 0008 0.7625000 0.7625000 0.7625000 0.7625000 3
CADUSD 1 160901 0009 0.7625000 0.7625000 0.7624000 0.7624000 3
CADUSD 1 160901 0010 0.7625000 0.7628000 0.7625000 0.7625000 3
CADUSD 1 160901 0011 0.7625000 0.7625000 0.7625000 0.7625000 3
CADUSD 1 160901 0012 0.7625000 0.7625000 0.7625000 0.7625000 3
CADUSD 1 160901 0013 0.7626000 0.7626000 0.7626000 0.7626000 3
CADUSD 1 160901 0014 0.7626000 0.7627000 0.7626000 0.7626000 3
CADUSD 1 160901 0015 0.7625000 0.7627000 0.7625000 0.7627000 3
CADUSD 1 160901 0016 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0017 0.7626000 0.7629000 0.7626000 0.7626000 3
CADUSD 1 160901 0018 0.7627000 0.7630000 0.7627000 0.7630000 3
CADUSD 1 160901 0019 0.7626000 0.7627000 0.7626000 0.7627000 3
CADUSD 1 160901 0020 0.7628000 0.7628000 0.7628000 0.7628000 2
CADUSD 1 160901 0021 0.7628000 0.7629000 0.7626000 0.7626000 3
CADUSD 1 160901 0022 0.7628000 0.7628000 0.7626000 0.7626000 2
CADUSD 1 160901 0023 0.7628000 0.7628000 0.7627000 0.7627000 2
CADUSD 1 160901 0024 0.7628000 0.7628000 0.7627000 0.7628000 3
CADUSD 1 160901 0025 0.7628000 0.7628000 0.7627000 0.7627000 2
CADUSD 1 160901 0026 0.7628000 0.7628000 0.7627000 0.7627000 3
CADUSD 1 160901 0027 0.7628000 0.7628000 0.7628000 0.7628000 1
CADUSD 1 160901 0028 0.7627000 0.7627000 0.7627000 0.7627000 1
CADUSD 1 160901 0029 0.7627000 0.7627000 0.7627000 0.7627000 3
CADUSD 1 160901 0030 0.7627000 0.7627000 0.7627000 0.7627000 3
CADUSD 1 160901 0031 0.7627000 0.7627000 0.7627000 0.7627000 3
CADUSD 1 160901 0032 0.7627000 0.7627000 0.7627000 0.7627000 1
CADUSD 1 160901 0033 0.7627000 0.7627000 0.7627000 0.7627000 3
CADUSD 1 160901 0034 0.7625000 0.7625000 0.7625000 0.7625000 1
CADUSD 1 160901 0035 0.7627000 0.7627000 0.7626000 0.7626000 3
CADUSD 1 160901 0036 0.7627000 0.7627000 0.7626000 0.7626000 3
CADUSD 1 160901 0037 0.7627000 0.7627000 0.7626000 0.7626000 3
CADUSD 1 160901 0038 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0039 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0040 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0041 0.7625000 0.7628000 0.7625000 0.7628000 2
CADUSD 1 160901 0042 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0043 0.7625000 0.7627000 0.7625000 0.7627000 3
CADUSD 1 160901 0044 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0045 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0046 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0047 0.7625000 0.7628000 0.7625000 0.7628000 2
CADUSD 1 160901 0048 0.7625000 0.7628000 0.7625000 0.7628000 3
CADUSD 1 160901 0049 0.7625000 0.7628000 0.7625000 0.7628000 2
CADUSD 1 160901 0050 0.7624000 0.7628000 0.7624000 0.7628000 2
