<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
EURGBP 1 141101 0001 0.7828200 0.7830000 0.7825600 0.7827000 8
EURGBP 1 141101 0002 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0003 0.7825800 0.7825800 0.7819000 0.7819000 4
EURGBP 1 141101 0004 0.7827000 0.7827000 0.7827000 0.7827000 2
EURGBP 1 141101 0005 0.7828000 0.7830000 0.7828000 0.7830000 3
EURGBP 1 141101 0006 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0007 0.7828000 0.7828000 0.7820900 0.7824100 42
EURGBP 1 141101 0008 0.7826000 0.7826000 0.7824000 0.7824000 2
EURGBP 1 141101 0009 0.7829000 0.7829000 0.7824000 0.7825000 5
EURGBP 1 141101 0011 0.7829000 0.7829000 0.7824000 0.7824000 2
EURGBP 1 141101 0012 0.7824000 0.7825800 0.7824000 0.7825800 2
EURGBP 1 141101 0013 0.7830000 0.7830000 0.7825800 0.7825800 2
EURGBP 1 141101 0014 0.7824000 0.7824000 0.7824000 0.7824000 1
EURGBP 1 141101 0015 0.7830000 0.7830000 0.7830000 0.7830000 1
EURGBP 1 141101 0016 0.7824000 0.7824000 0.7824000 0.7824000 1
EURGBP 1 141101 0017 0.7830000 0.7830000 0.7825800 0.7825800 2
EURGBP 1 141101 0018 0.7825800 0.7825800 0.7824000 0.7824000 2
EURGBP 1 141101 0019 0.7830000 0.7830000 0.7830000 0.7830000 1
EURGBP 1 141101 0020 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0021 0.7830000 0.7830000 0.7830000 0.7830000 2
EURGBP 1 141101 0022 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0023 0.7830000 0.7830000 0.7825800 0.7825800 2
EURGBP 1 141101 0024 0.7824000 0.7824000 0.7824000 0.7824000 1
EURGBP 1 141101 0025 0.7830000 0.7830000 0.7830000 0.7830000 2
EURGBP 1 141101 0026 0.7824000 0.7824000 0.7824000 0.7824000 1
EURGBP 1 141101 0027 0.7830000 0.7830000 0.7825800 0.7825800 2
EURGBP 1 141101 0028 0.7825800 0.7825800 0.7825800 0.7825800 2
EURGBP 1 141101 0029 0.7830000 0.7830000 0.7825800 0.7825800 2
EURGBP 1 141101 0030 0.7824000 0.7824000 0.7824000 0.7824000 1
EURGBP 1 141101 0031 0.7830000 0.7830000 0.7824000 0.7824000 2
EURGBP 1 141101 0033 0.7830000 0.7830000 0.7824000 0.7824000 2
EURGBP 1 141101 0034 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0035 0.7824000 0.7825800 0.7824000 0.7825800 2
EURGBP 1 141101 0036 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0037 0.7825800 0.7825800 0.7825800 0.7825800 1
EURGBP 1 141101 0038 0.7825800 0.7827000 0.7825800 0.7827000 4
EURGBP 1 141101 0039 0.7830000 0.7830000 0.7824000 0.7825800 3
EURGBP 1 141101 0040 0.7824000 0.7824000 0.7824000 0.7824000 1
EURGBP 1 141101 0041 0.7830000 0.7830000 0.7825800 0.7825800 2
